Filename,Radius,radius,error,average_radius,mean_err,std_dev
WIN_20230621_15_25_56_Pro.jpg,79.29624019,90,10.70375981,79.40528653,10.59471348,0.408411698
WIN_20230621_15_25_57_Pro (2).jpg,79.36551333,90,10.63448667,,,
WIN_20230621_15_25_57_Pro.jpg,79.41202915,90,10.58797085,,,
WIN_20230621_15_25_58_Pro.jpg,79.67344647,90,10.32655353,,,
WIN_20230621_15_25_59_Pro (2).jpg,79.47912417,90,10.52087583,,,
WIN_20230621_15_25_59_Pro.jpg,78.65339514,90,11.34660486,,,
WIN_20230621_15_26_00_Pro.jpg,79.99155929,90,10.00844071,,,
WIN_20230621_15_26_01_Pro (2).jpg,79.41033431,90,10.58966569,,,
WIN_20230621_15_26_01_Pro.jpg,78.80800238,90,11.19199762,,,
WIN_20230621_15_26_02_Pro.jpg,79.96322082,90,10.03677918,,,
