x,y,norm_position_x,norm_position_y,diff_x,diff_y
0.000,0.000,0,0,0.000,0.000
0.007,0.001,0.009880777,-4.4678E-05,0.003,-0.001
0.015,0.001,0.009949246,-3.05594E-05,-0.005,-0.001
0.022,0.000,0.019945733,-3.61789E-05,-0.002,0.000
0.030,0.000,0.029923005,-2.70069E-05,0.000,0.000
0.028,0.000,0.039876934,-3.94706E-05,0.012,0.000
0.045,0.000,0.04985793,6.92621E-06,0.005,0.000
0.061,0.000,0.049923937,-4.15493E-05,-0.011,0.000
0.068,0.000,0.059970204,1.85424E-06,-0.008,0.000
0.070,-0.001,0.070025136,3.44921E-05,0.000,0.001
0.076,-0.002,0.080008303,-6.1377E-05,0.004,0.002
